ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Other;2020-07-17 14:26:18+00:00;2020-07-17 16:22:40+00:00;119.0567792198478;91.5999984741211;144.1999969482422;709.1997680664062;710.3997650146484;31453.07;6982.0;149.4144415733563;82;None;1301;16.217566886279002;None;None;None
Biking;2020-07-20 15:26:51+00:00;2020-07-20 17:12:57+00:00;117.03707649178307;89.19999694824219;157.0;596.7999267578125;591.1999206542969;47423.88;6366.0;149.63644918444166;99;None;1151;26.818405278039585;None;None;None
Other;2020-07-21 16:24:28+00:00;2020-07-21 18:12:06+00:00;133.09059977369245;112.19999694824219;155.1999969482422;556.1998901367188;554.9998779296875;28337.82;6458.0;142.84894867037724;69;None;1063;15.796864663982658;None;None;None
Running;2020-07-13 19:25:32+00:00;2020-07-13 19:33:41+00:00;206.100815068459;205.60000610351562;206.60000610351562;6.1999359130859375;5.1999359130859375;181.46;489.0;None;None;None;10;1.3359018404907976;None;None;None
Running;2020-07-22 16:41:13+00:00;2020-07-22 18:09:09+00:00;159.815951811481;150.0;180.8000030517578;336.79994201660156;329.79994201660156;14536.07;5276.0;147.6136836136836;104;None;996;9.918470811220622;None;None;None
Biking;2020-07-24 19:29:15+00:00;2020-07-24 20:06:05+00:00;None;None;None;0;0;15112.37;2210.0;137.3324432576769;75;None;408;24.617435294117648;None;None;None
Running;2020-07-25 11:21:28+00:00;2020-07-25 12:01:10+00:00;None;None;None;0;0;5276.31;2382.0;132.52866242038218;89;None;407;7.974272040302268;None;None;None
Biking;2020-07-26 15:38:01+00:00;2020-07-26 17:30:34+00:00;102.77654194588528;77.80000305175781;151.0;608.0000686645508;607.200065612793;38642.5;6753.0;123.15264014199083;62;None;823;20.600177698800533;None;None;None
Other;2020-07-27 15:31:17+00:00;2020-07-27 17:14:42+00:00;125.337119845009;104.5999984741211;148.39999389648438;535.8002548217773;534.6002426147461;28298.1;6205.0;146.16580811332904;74;None;1103;16.41791458501209;None;None;None
Running;2020-07-28 17:11:11+00:00;2020-07-28 17:56:50+00:00;136.48784572484712;126.5999984741211;155.60000610351562;181.39984130859375;178.59983825683594;8310.78;2739.0;153.20960698689956;59;None;581;10.923259583789706;None;None;None
Biking;2020-07-30 16:55:53+00:00;2020-07-30 18:56:06+00:00;107.94010803611361;79.4000015258789;142.39999389648438;611.9998550415039;619.3998565673828;49411.57;7213.0;None;None;None;1845;24.661257729100235;None;None;None
Other;2020-07-31 15:39:47+00:00;2020-07-31 17:21:06+00:00;115.4023649128303;88.80000305175781;141.39999389648438;695.3999862670898;697.1999740600586;32022.84;6079.0;153.22013820335636;77;None;1148;18.964011186050335;None;None;None
Other;2020-08-03 16:01:50+00:00;2020-08-03 17:33:36+00:00;92.6482119986963;65.5999984741211;120.4000015258789;570.4000473022461;578.0000534057617;33614.86;5506.0;None;None;None;1467;21.978477297493647;None;None;None
Other;2020-08-04 15:00:59+00:00;2020-08-04 16:37:35+00:00;91.5664311210174;71.4000015258789;115.4000015258789;574.2002182006836;573.4002227783203;30165.06;5796.0;163.25925270054896;95;None;1272;18.736062111801246;None;None;None
Running;2020-08-05 16:16:03+00:00;2020-08-05 17:16:51+00:00;82.00300721616416;74.80000305175781;99.19999694824219;244.60008239746094;245.80007934570312;9047.05;3648.0;143.26544559868782;83;None;621;8.928009868421052;None;None;None
Other;2020-08-07 16:12:29+00:00;2020-08-07 17:56:14+00:00;130.74534954391586;104.0;154.8000030517578;666.2000885009766;664.6000823974609;31918.96;6225.0;151.7871009144874;89;None;1191;18.459157590361446;None;None;None
